fastq	Accession
REP1_type2_AAVS1_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33939810
REP1_type2_EMX1_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33939809
REP1_type2_EMX1_GCTGC_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33939808
REP1_type2_EMX1_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33939807
REP1_type2_EMX1_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33939806
REP1_type2_EMX1_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33939803
REP1_type2_EMX1_GCTGC_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33939998
REP1_type2_EMX1_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33939997
REP1_type2_EMX1_GTCAG_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33939996
REP1_type2_EMX1_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33939995
REP1_type2_EMX1_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33939994
REP1_type2_EMX1_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33939993
REP1_type2_EMX1_GTCAG_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33939992
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33939991
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33939990
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33939988
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33939987
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33939986
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33939985
REP1_type2_FANCF_GCTGC_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33939984
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33939983
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33939982
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33939981
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33939980
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33939979
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33939977
REP1_type2_FANCF_GTCAG_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33939976
REP1_type2_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33939975
REP1_type2_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33939974
REP1_type2_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33939973
REP1_type2_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33939972
REP1_type2_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33939971
REP1_type2_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940194
REP1_type2_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940193
REP1_type2_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940192
REP1_type2_HEK3_GTCAG_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940190
REP1_type2_HEK3_GTCAG_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940189
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940188
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940187
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940186
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940185
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940184
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940183
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940182
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940181
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940179
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940178
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940177
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940176
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33940175
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_26_R1.fastq.gz	SRR33940174
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_28_R1.fastq.gz	SRR33940173
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940172
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940171
REP1_type3_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940170
