fastq	Accession
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052848
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052837
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052609
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052598
REP1_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052586
REP1_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052455
REP1_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052444
REP1_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34053049
REP1_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34053038
REP1_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34053027
REP1_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052821
REP1_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052810
REP1_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052434
REP1_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052423
REP1_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052968
REP1_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34053016
REP1_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34053005
