autocorr,p_value,var_norm,q_value,feature_type,clone,feature
0.07172256218857617,0.07172870032111073,-0.0001370037021671463,0.08894358839817731,expression,M1-T1,Aldob
0.005517747103296071,0.0055238852358306285,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Alox15
0.4296413420191555,0.4296474801516901,-0.0001370037021671463,0.47147157113990773,expression,M1-T1,Ankrd1
-0.0057314529085266,-0.005725314775992043,-0.0001370037021671463,-0.3549695161115067,expression,M1-T1,Apoa5
0.04808600124688474,0.048092139379419294,-0.0001370037021671463,0.06412285250589239,expression,M1-T1,Arg1
0.005505947089108581,0.005512085221643139,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Arhgef37
0.004194617659369878,0.004200755791904435,-0.0001370037021671463,0.020034373776774996,expression,M1-T1,Asprv1
0.04429636692426668,0.044302505056801236,-0.0001370037021671463,0.06036824864882806,expression,M1-T1,Azgp1
0.022839130290959783,0.022845268423494342,-0.0001370037021671463,0.04046876120733283,expression,M1-T1,Batf3
0.015583293604673492,0.015589431737208049,-0.0001370037021671463,0.03579795435951478,expression,M1-T1,Bcl11b
0.05764747925232378,0.05765361738485834,-0.0001370037021671463,0.07370153150229314,expression,M1-T1,C1qa
0.0784246028187568,0.07843074095129135,-0.0001370037021671463,0.09534717527411889,expression,M1-T1,C1qb
0.062471175959512626,0.06247731409204718,-0.0001370037021671463,0.07905292803483521,expression,M1-T1,C1qc
0.3575711700837413,0.35757730821627587,-0.0001370037021671463,0.39945573170106496,expression,M1-T1,Camk4
0.010515566257499836,0.010521704390034393,-0.0001370037021671463,0.027759390305622654,expression,M1-T1,Ccl24
0.034371439251334256,0.03437757738386881,-0.0001370037021671463,0.050150818771761564,expression,M1-T1,Ccr2
-0.0019675846120563506,-0.001961446479521793,-0.0001370037021671463,-0.04053656057678372,expression,M1-T1,Ccr4
-0.0021902742451497892,-0.0021841361126152315,-0.0001370037021671463,-0.054166575592857744,expression,M1-T1,Ccr9
0.04221241895948419,0.042218557092018744,-0.0001370037021671463,0.058167789771225824,expression,M1-T1,Cd200r3
0.02397731900678433,0.02398345713931889,-0.0001370037021671463,0.0413048428510492,expression,M1-T1,Cd22
0.005535845131445192,0.005541983263979749,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Cd247
0.007972750749921053,0.00797888888245561,-0.0001370037021671463,0.0253687749083204,expression,M1-T1,Cd28
0.020870065224318345,0.020876203356852904,-0.0001370037021671463,0.04008539231868175,expression,M1-T1,Cd300e
0.02023366161565323,0.02023979974818779,-0.0001370037021671463,0.04008539231868175,expression,M1-T1,Cd3g
0.008457384216443915,0.008463522348978472,-0.0001370037021671463,0.02569814405674278,expression,M1-T1,Cd4
0.011761130672320107,0.011767268804854665,-0.0001370037021671463,0.030138593645762397,expression,M1-T1,Cd79a
0.018108876116769024,0.018115014249303583,-0.0001370037021671463,0.03835646001522403,expression,M1-T1,Cd8a
0.006303409917234658,0.0063095480497692156,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Cd8b1
0.005188902354197476,0.005195040486732033,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Cd96
0.01214652059559544,0.012152658728129997,-0.0001370037021671463,0.030138593645762397,expression,M1-T1,Chil1
0.00737377570688663,0.007379913839421187,-0.0001370037021671463,0.024081824107584925,expression,M1-T1,Chst3
1.161759373283808,1.1617655114163425,-0.0001370037021671463,1.0,expression,M1-T1,Cldn4
0.0368530548406387,0.036859192973173256,-0.0001370037021671463,0.052534941708890615,expression,M1-T1,Cldn5
0.02827707172069422,0.02828320985322878,-0.0001370037021671463,0.04439389901013125,expression,M1-T1,Clec14a
0.028207609058915173,0.028213747191449732,-0.0001370037021671463,0.04439389901013125,expression,M1-T1,Col5a2
0.004599163604899655,0.004605301737434213,-0.0001370037021671463,0.02115027464599416,expression,M1-T1,Col6a6
0.022130599325032592,0.02213673745756715,-0.0001370037021671463,0.04036699183438716,expression,M1-T1,Cpa3
0.006050758666096555,0.006056896798631113,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Cr2
0.00011588623106752763,0.00012202436360208531,-0.0001370037021671463,0.0012609184238882149,expression,M1-T1,Csrp3
0.021002965757009488,0.021009103889544047,-0.0001370037021671463,0.04008539231868175,expression,M1-T1,Cxcl14
0.006051485336332962,0.006057623468867519,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Cxcl3
0.009316801015352769,0.009322939147887326,-0.0001370037021671463,0.026273737598591553,expression,M1-T1,Cxcr2
0.08129964125298014,0.0813057793855147,-0.0001370037021671463,0.09694150619042137,expression,M1-T1,Cyp11a1
-0.00998829574641853,-0.009982157613883973,-0.0001370037021671463,-1.2377875441216126,expression,M1-T1,Cyp2j5
0.012140767307787867,0.012146905440322424,-0.0001370037021671463,0.030138593645762397,expression,M1-T1,Cyp4b1
0.07428894626790075,0.07429508440043531,-0.0001370037021671463,0.09121376698667305,expression,M1-T1,Dab2
0.025004697397109775,0.025010835529644334,-0.0001370037021671463,0.04248415898186161,expression,M1-T1,Ebf1
0.198587756784522,0.19859389491705656,-0.0001370037021671463,0.22592332999738546,expression,M1-T1,Enpp1
0.003810530477086809,0.003816668609621367,-0.0001370037021671463,0.020034373776774996,expression,M1-T1,Eomes
0.017915091223204442,0.017921229355739,-0.0001370037021671463,0.03835646001522403,expression,M1-T1,Fasl
0.02119806780093144,0.021204205933466,-0.0001370037021671463,0.04008539231868175,expression,M1-T1,Fcer1a
0.006174753091278958,0.0061808912238135155,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Fcer2a
