module1,module2,pval
1,1,1.0
1,2,0.12250077549387758
1,3,1.4971472815848947e-38
1,4,2.7762600326589678e-25
2,1,0.12250077549387758
2,2,1.0
2,3,1.2391860934362305e-29
2,4,1.4537351398472874e-31
3,1,1.4971472815848947e-38
3,2,1.2391860934362305e-29
3,3,1.0
3,4,2.2332510958636202e-119
4,1,2.7762600326589678e-25
4,2,1.4537351398472874e-31
4,3,2.2332510958636202e-119
4,4,1.0
