	probability
1	0.019807637367871396
2	0.016974573850110943
3	0.014546233692030553
4	0.014522426435578785
5	0.012475002380726696
6	0.012332158842016085
7	0.011475097609752417
8	0.011141796019427658
9	0.008784877630702577
10	0.008403961527474281
11	0.00814208170650483
12	0.007880201885535374
13	0.007856394629083607
14	0.007070755166175246
15	0.006594610037139875
16	0.006308922959718653
17	0.006142272164556273
18	0.006094657651652737
19	0.006023235882297431
20	0.005928006856490357
21	0.005856585087135051
22	0.005523283496810292
23	0.0054042472145514504
24	0.0052614036758408395
25	0.00492810208551608
26	0.004404342443577174
27	0.004261498904866562
28	0.004142462622607719
29	0.00397581182744534
30	0.0037139320064758863
31	0.0037139320064758863
32	0.003571088467765275
33	0.003309208646795822
34	0.003309208646795822
35	0.003261594133892285
36	0.0032377868774405164
37	0.0030711360822781365
38	0.0028330635177604524
39	0.0028092562613086835
40	0.002737834491953378
41	0.0026187982096945346
42	0.0025949909532427665
43	0.0025949909532427665
44	0.002571183696790998
45	0.0025473764403392296
46	0.0024283401580803875
47	0.0023569183887250816
48	0.002166460337110933
49	0.002142653080659165
50	0.0021188458242073966
51	0.0021188458242073966
52	0.0021188458242073966
53	0.002095038567755628
54	0.002095038567755628
55	0.0020712313113038596
56	0.0020712313113038596
57	0.002023616798400323
58	0.001952195029045017
59	0.001952195029045017
60	0.0019283877725932489
61	0.0019283877725932489
62	0.0018093514903344062
63	0.0017855442338826377
64	0.0017379297209791007
65	0.0017379297209791007
66	0.0017141224645273322
67	0.0017141224645273322
68	0.0017141224645273322
69	0.0016427006951720267
70	0.0016188934387202582
71	0.0015950861822684895
72	0.0015950861822684895
73	0.001571278925816721
74	0.001571278925816721
75	0.001571278925816721
76	0.0015474716693649525
77	0.0015474716693649525
78	0.0015474716693649525
79	0.0015474716693649525
80	0.0015474716693649525
81	0.0015236644129131842
82	0.0015236644129131842
83	0.0014998571564614155
84	0.0014760499000096474
85	0.0014522426435578787
86	0.0014522426435578787
87	0.0014522426435578787
88	0.0014284353871061102
89	0.0014284353871061102
90	0.0014046281306543417
91	0.0014046281306543417
92	0.001380820874202573
93	0.0013570136177508045
94	0.001333206361299036
95	0.001333206361299036
96	0.001333206361299036
97	0.0013093991048472675
98	0.0013093991048472675
99	0.0013093991048472675
100	0.0013093991048472675
101	0.0013093991048472675
102	0.0013093991048472675
103	0.0012617845919437307
104	0.0012617845919437307
105	0.0012617845919437307
106	0.0012379773354919623
107	0.0012141700790401938
108	0.0012141700790401938
109	0.0012141700790401938
110	0.0012141700790401938
111	0.0012141700790401938
