puro_fmi,blast_fmi,fmi,solver,clone,characters,detection_rate,permute,iteration
0.2429111918841688,0.22946505671965364,0.23625931167104125,nj,6,42,0.8991043032387875,True,0
0.9471529936122761,0.894499961438885,0.9211052364991654,upgma,6,42,0.8991043032387875,False,0
0.951817135242532,0.9140728379804286,0.9331448148289478,nj,6,42,0.8991043032387875,False,0
0.21770358351274954,0.25482836937939296,0.23638627111612764,upgma,5,42,0.8763969873663752,True,0
0.2429111918841688,0.22968731079718088,0.23636926203837744,upgma,6,42,0.8991043032387875,True,0
0.8748052213198252,0.90291481692462,0.8889511020591274,upgma,5,42,0.8763969873663752,False,0
0.9028743067772743,0.9027447263909614,0.9028090967074922,nj,5,42,0.8763969873663752,False,0
0.21675851750644612,0.25511620015418235,0.23606164843011995,nj,5,42,0.8763969873663752,True,0
0.26530521121342676,0.19930105421624406,0.23236115324665432,upgma,4,36,0.8776812526812526,True,0
0.9778365535906977,0.9377700101328451,0.9578385021003947,upgma,4,36,0.8776812526812526,False,0
0.26530521121342676,0.196813173936589,0.23111940006206555,nj,4,36,0.8776812526812526,True,0
0.9625135367172248,0.9224273831309012,0.9425056974008442,nj,4,36,0.8776812526812526,False,0
0.2161432591953721,0.23962601938602776,0.22919387729883983,upgma,3,45,0.8816443949517446,True,0
0.9574632288845353,0.9349935085747426,0.9449756108926979,upgma,3,45,0.8816443949517446,False,0
0.21631059679459422,0.24042815794301906,0.22971400753420435,nj,3,45,0.8816443949517446,True,0
0.9591107787670073,0.9377479391992036,0.9472383132415962,nj,3,45,0.8816443949517446,False,0
0.4532039475096178,0.2466528277607942,0.3234986542184955,upgma,2,42,0.8739271166715159,True,0
0.4532039475096178,0.24650174205201691,0.3234037788375589,nj,2,42,0.8739271166715159,True,0
0.9991035067719524,0.9494202849463079,0.9679045625765419,upgma,2,42,0.8739271166715159,False,0
0.9991035449169181,0.960294075754815,0.9747328536020287,nj,2,42,0.8739271166715159,False,0
0.9360349625100004,0.8362163899035874,0.8857070085267704,upgma,1,39,0.8606113886113886,False,0
0.2044246695743763,0.1845996108962737,0.19442898826163554,nj,1,39,0.8606113886113886,True,0
0.9206173292957134,0.8501764359950061,0.8851014333656624,nj,1,39,0.8606113886113886,False,0
0.2023591418929587,0.18377010464445903,0.19298665552287278,upgma,1,39,0.8606113886113886,True,0
