puro_fmi,blast_fmi,fmi,solver,clone,characters,detection_rate,permute,iteration
0.5418108435373057,0.3912853404423792,0.46591674492166113,upgma,1,5,0.9172987012987013,False,7
0.5426339033384557,0.3643411065696196,0.4527396939040599,upgma,1,5,0.9396987012987013,False,2
0.5092955180538211,0.39337015146856535,0.45084661057448316,upgma,1,5,0.8666597402597402,False,3
0.4190141017143339,0.34207648372359706,0.3802225943153556,upgma,1,5,0.8450285714285715,False,5
0.44568489301857434,0.3468973055942373,0.39587675587349447,upgma,1,5,0.866348051948052,False,9
0.5264528136218767,0.400480366685967,0.4629382256348911,upgma,1,5,0.893174025974026,False,1
0.5179859171490343,0.4080218217217796,0.46254264852715044,upgma,1,5,0.8448,False,6
0.4175588150454316,0.3412586095377949,0.37908868737850265,upgma,1,5,0.7926441558441558,False,8
0.42883700268255354,0.3662398199389217,0.39727586079943533,upgma,1,5,0.8614233766233766,False,0
0.38303631540638383,0.32422010027141057,0.353381515788557,upgma,1,5,0.8338077922077922,False,4
0.649384054909097,0.47557538624364143,0.5617507172438426,upgma,1,10,0.8786909090909091,False,2
0.6012625698323478,0.5122932365854082,0.5564047403457845,upgma,1,10,0.8498493506493506,False,9
0.7346048971615432,0.5754399815044348,0.6543548560943262,upgma,1,10,0.9006025974025974,False,7
0.5999587069104465,0.48360218198007543,0.5412924118569743,upgma,1,10,0.7925610389610389,False,8
0.6628704110157174,0.5169151550333532,0.589280604881593,upgma,1,10,0.8685298701298702,False,1
0.6760915146034552,0.5440211141540096,0.6095023732963052,upgma,1,10,0.8740155844155845,False,5
0.6897636079618871,0.5743187238241875,0.6315569569873151,upgma,1,10,0.8697454545454546,False,6
0.652002718608967,0.52778959697008,0.5893751723846322,upgma,1,10,0.8843532467532468,False,0
0.6298667750312907,0.5417229197481156,0.5854251468175938,upgma,1,10,0.8712103896103897,False,4
0.6578076186052462,0.5280366255597561,0.5923778253732412,upgma,1,10,0.8253194805194806,False,3
0.6953835973003097,0.5585357870817248,0.6263857132838413,upgma,1,15,0.8547255411255411,False,2
0.8304147143938563,0.6682006786868177,0.7486273244189635,upgma,1,15,0.8754839826839826,False,7
0.7468610122950505,0.6212554971033856,0.6835314291970063,upgma,1,15,0.8930285714285714,False,5
0.8058367991624438,0.6638989979720171,0.734272570780223,upgma,1,15,0.8236606060606061,False,6
0.7597183337780002,0.6270351865193541,0.6928202490306509,upgma,1,15,0.8525298701298701,False,9
0.7731947986708456,0.6236616723493483,0.697801050754305,upgma,1,15,0.8568103896103896,False,4
0.716063500375827,0.6058374642978094,0.6604881627744567,upgma,1,15,0.8417662337662337,False,1
0.7062205940986597,0.5724323733295842,0.6387653376013167,upgma,1,15,0.7918545454545455,False,8
0.8112065998783679,0.6541563110360521,0.7320227415690054,upgma,1,15,0.8677887445887446,False,0
0.7711918035105992,0.6577928549200233,0.7140167015491984,upgma,1,15,0.8271722943722943,False,3
0.790848725081454,0.6549163791118173,0.7223124129086947,upgma,1,20,0.8493454545454545,False,2
0.8903054195464143,0.7426279819029638,0.8158472992586535,upgma,1,20,0.8672363636363636,False,7
0.8571534994270512,0.7154165991879575,0.7856905641566219,upgma,1,20,0.8481922077922078,False,0
0.8435987209823215,0.7078621735878514,0.7751611293324434,upgma,1,20,0.8310493506493507,False,3
0.8572345245356864,0.7094331953406521,0.7827139388354858,upgma,1,20,0.8513818181818181,False,6
0.8257855890853777,0.6949576042422458,0.7598228666282463,upgma,1,20,0.8561506493506493,False,1
0.8142639268990686,0.6837567084727069,0.7484629330365369,upgma,1,20,0.826025974025974,False,8
0.8580774940188688,0.7098207608482481,0.7833272962361807,upgma,1,20,0.8763896103896104,False,9
0.8369530828426597,0.7350074093790342,0.7855526567606592,upgma,1,20,0.8770805194805195,False,5
0.8541147237829865,0.7269514889302631,0.7899997473320474,upgma,1,20,0.8398285714285715,False,4
0.8672088836089885,0.7317561875737976,0.7989144081926417,upgma,1,25,0.8619885714285714,False,2
0.929901799113659,0.7779917034436898,0.8533095968327071,upgma,1,25,0.8517319480519481,False,0
0.9303412203503599,0.7617302128241468,0.8453285137340755,upgma,1,25,0.8489849350649351,False,4
0.9187754094820199,0.7737411866639627,0.8456499830069099,upgma,1,25,0.8574794805194805,False,7
0.8897115165221237,0.774003139030476,0.8313720137039907,upgma,1,25,0.8584187012987013,False,1
0.8671970102251112,0.7638647665867309,0.815097483383328,upgma,1,25,0.8416664935064935,False,3
0.9176601174344711,0.753573319883728,0.8349284916382232,upgma,1,25,0.8817994805194805,False,5
0.874086936165677,0.7541034940399652,0.8135919701851237,upgma,1,25,0.8674077922077922,False,6
0.903001214407569,0.7716424723150209,0.8367708871778247,upgma,1,25,0.8707116883116883,False,9
0.849317537896567,0.752850936960991,0.8006796288778966,upgma,1,25,0.8397922077922078,False,8
0.9456073962136355,0.8093507765111424,0.8769075870775455,upgma,1,30,0.853343722943723,False,0
0.8957627524985972,0.7827527414982273,0.8387837506479383,upgma,1,30,0.8629402597402598,False,2
0.8997508721395822,0.7854235477295133,0.8421076883943752,upgma,1,30,0.8424277056277056,False,3
0.9021590864014882,0.7932423307128512,0.847243880491719,upgma,1,30,0.8602909090909091,False,1
0.9303433773940829,0.8112347979623098,0.8702895121851846,upgma,1,30,0.8691186147186147,False,5
0.9066429500405734,0.8067789770710474,0.8562921054536621,upgma,1,30,0.8590926406926407,False,6
0.9171511079045191,0.7986086999411217,0.8573827031150899,upgma,1,30,0.8518857142857142,False,4
0.9147177592296097,0.8024345429804968,0.8581052031399091,upgma,1,30,0.8672865800865801,False,9
