clone,n_cells,site_edit_frac,avg_depth,detection_rate,puro_mean_time,blast_mean_time,puro_fmi,blast_fmi
1,9625,77.70602730602731,11.32083116883117,86.06113886113886,5.858944670188789,7.985572219337785,0.9206173292957134,0.8501764359950061
2,3928,62.636383473959846,8.759674134419551,87.39271166715159,2.948428050412553,7.294172769702266,0.999103544916918,0.960294075754815
3,3592,75.2369463004207,10.032015590200446,88.16443949517446,5.066943763397315,8.37661162830406,0.9591107787670072,0.9377479391992036
4,3108,72.17485342485342,9.123552123552123,87.76812526812526,4.883332453392566,7.456292794187773,0.9625135367172248,0.9224273831309012
5,2352,72.01064949789439,10.029761904761905,87.63969873663751,5.479861422763255,7.675498278966171,0.9028743067772744,0.9027447263909614
6,2201,68.66034919192575,8.505679236710586,89.91043032387876,5.0752653969883434,8.008701076181376,0.951817135242532,0.9140728379804286
