fastq	Accession
REP1_type2_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940148
REP1_type2_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940306
REP1_type2_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940294
REP1_type2_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940282
REP1_type2_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940131
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940120
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940109
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940098
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940087
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940557
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940546
REP1_type3_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940278
REP1_type3_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940267
REP1_type3_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940255
REP1_type3_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33939964
REP1_type3_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33939957
REP1_type3_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939956
REP1_type3_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33939955
REP1_type3_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33939954
REP1_type3_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33939953
REP1_type3_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33939952
REP1_type3_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33939951
REP1_type3_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939950
REP1_type3_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939948
REP1_type3_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33939947
REP1_type3_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939946
REP1_type3_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33939945
REP1_type3_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33939944
REP1_type3_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939943
REP1_type3_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940535
REP1_type3_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940534
REP1_type3_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940533
REP1_type3_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940532
REP1_type3_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940079
REP1_type3_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940078
REP1_type3_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33940077
REP1_type3_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940076
REP1_type3_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940075
REP1_type3_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940074
REP1_type3_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940073
REP1_type3_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940072
REP1_type4_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940071
REP1_type4_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940070
REP1_type4_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940068
REP1_type4_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940067
REP1_type4_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940066
REP1_type4_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940065
REP1_type4_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940064
REP1_type4_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940063
REP1_type4_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940062
REP1_type4_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940061
REP1_type4_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940060
REP1_type4_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940059
REP1_type4_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33940057
REP1_type4_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33940056
REP1_type4_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940055
REP1_type4_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33939942
REP1_type4_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33939941
REP1_type4_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939940
REP1_type4_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939939
REP1_type4_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33939938
REP1_type4_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939937
REP1_type4_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33939936
REP1_type4_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33939934
REP1_type4_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939933
REP1_type4_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939932
REP1_type4_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33939931
REP1_type4_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939930
REP1_type4_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33939929
REP1_type4_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33939928
REP1_type4_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939927
REP1_type4_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33939926
REP1_type4_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33939925
REP1_type4_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33939923
REP1_type4_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33939922
REP1_type4_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33939921
REP1_type4_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33939920
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33939919
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33939918
REP2_type1_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33939917
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33939916
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33939915
REP2_type1_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940054
REP2_type1_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940052
REP2_type1_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940051
REP2_type1_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940050
REP2_type1_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940049
REP2_type1_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940048
REP2_type1_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940047
REP2_type1_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33940046
REP2_type1_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33940045
REP2_type1_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940044
REP2_type1_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33940043
REP2_type1_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33940041
REP2_type1_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940040
REP2_type1_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940039
REP2_type1_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33940038
REP2_type1_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940037
REP2_type1_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940036
REP2_type1_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33940035
REP2_type1_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940034
REP2_type1_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940033
REP2_type1_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940032
REP2_type1_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940030
REP2_type1_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940029
REP2_type1_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940028
REP2_type1_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940027
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33940531
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940530
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940529
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940528
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940527
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940526
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940524
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940523
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940522
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940521
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940520
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940519
REP2_type2_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940518
REP2_type2_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940517
REP2_type2_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940516
REP2_type2_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940515
REP2_type2_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940513
REP2_type2_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940512
REP2_type2_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33940511
REP2_type2_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33940510
REP2_type2_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940509
REP2_type2_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33940508
REP2_type2_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33940507
REP2_type2_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940506
REP2_type2_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940505
REP2_type2_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33940504
REP2_type2_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940501
REP2_type2_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940500
REP2_type2_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33940499
REP2_type2_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940498
REP2_type2_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940497
REP2_type2_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940496
REP2_type2_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940495
REP2_type2_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940494
REP2_type2_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940493
REP2_type2_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940492
REP2_type2_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33940490
REP2_type2_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940489
REP2_type2_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940488
REP2_type2_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940487
REP2_type2_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940486
REP2_type2_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940485
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940484
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940483
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940482
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940481
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940479
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940478
REP2_type3_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940477
REP2_type3_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940476
REP2_type3_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33939914
REP2_type3_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33939913
REP2_type3_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33939912
REP2_type3_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939911
REP2_type3_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33939910
REP2_type3_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33939909
REP2_type3_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33939907
REP2_type3_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33939906
REP2_type3_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33939905
REP2_type3_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939904
REP2_type3_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939903
REP2_type3_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33939902
REP2_type3_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939901
REP2_type3_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33939900
REP2_type3_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33939899
REP2_type3_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939898
REP2_type3_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939896
REP2_type3_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33939895
REP2_type3_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939894
REP2_type3_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33939893
REP2_type3_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33939892
REP2_type3_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939891
REP2_type3_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33939890
REP2_type3_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33939889
REP2_type3_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33939888
REP2_type3_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33939887
REP2_type3_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940249
REP2_type3_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940248
REP2_type4_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940247
REP2_type4_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940246
REP2_type4_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940245
REP2_type4_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940244
REP2_type4_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940243
REP2_type4_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940242
REP2_type4_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940241
REP2_type4_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940240
REP2_type4_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940238
REP2_type4_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940237
REP2_type4_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940236
REP2_type4_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940235
REP2_type4_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33940234
REP2_type4_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33940233
REP2_type4_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940232
REP2_type4_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33940231
REP2_type4_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33940230
REP2_type4_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940229
REP2_type4_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940227
REP2_type4_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33940226
REP2_type4_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940225
REP2_type4_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940224
REP2_type4_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33940223
REP2_type4_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940475
REP2_type4_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940474
REP2_type4_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940473
REP2_type4_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940472
REP2_type4_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940471
REP2_type4_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940469
REP2_type4_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940468
REP2_type4_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33940467
REP2_type4_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940466
REP2_type4_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940465
REP2_type4_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940464
REP2_type4_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940463
REP2_type4_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940462
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940461
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940460
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940458
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940457
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940456
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940455
REP3_type1_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940454
