experiment,cells,alleles,correct,detected,accuracy,recall
10x_invitro,6883,197874,194784,194913,99.93381662587923,98.50359319566996
merfish_invitro,6750,161106,123883,124530,99.48044647876014,77.29693493724629
merfish_invivo,16181,608403,285139,286193,99.6317170580692,47.04003760665217
merfish_zombie,3030,65094,34143,34929,97.74972086232071,53.65932343994838
