intensity_bin,frac_decoded
"(1000, 2000]",0.2415986557849256
"(2000, 3000]",0.7605022831050229
"(3000, 4000]",0.8295380611581002
"(4000, 5000]",0.8654688869412795
"(5000, 6000]",0.9060317460317461
"(6000, 7000]",0.9043238270469182
"(7000, 8000]",0.9144021739130435
"(8000, 9000]",0.9311594202898551
"(9000, 10000]",0.9272727272727272
