Batch	Correct_edit	Indels	Substitutions_amplicon	Reads_aligned_all_amplicons	Reads_aligned_reference	Reads_aligned_amplicon	dir
REP3_AAVS1_type1_BC2_rt27	32.2177136406627	0.581200231869909	3.50245599048113	65554	44020	21120	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP3_AAVS1_type1_BC2_rt29	35.106998264893	1.26837666617348	3.45138337794397	74347	47305	26101	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP3_AAVS1_type1_BC2_rt31	43.5191909779794	1.88552557655152	3.96837359716075	72977	41129	31759	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP3_AAVS1_type1_BC2_rt33	46.8069370443603	1.05806529515645	4.44357236653435	66253	35111	31011	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP1_HEK3_type1_BC1_rt30	45.0250184562382	0.178410302682307	1.40472479698138	48764	26807	21956	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP1_HEK3_type1_BC1_rt32	53.6743904809208	0.740708748137431	1.62826354546829	46307	21452	24855	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP1_HEK3_type1_BC1_rt34	56.5046279425698	0.0619488375482837	1.1223671744042	27442	11936	15506	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP1_HEK3_type1_BC1_rt36	48.2465166726924	0.48669243819006	1.18752954918375	35957	18609	17348	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP1_HEK3_type1_BC1_rt40	44.3335182103901	0.628581992974672	1.67005607937388	48681	27099	21582	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP2_HEK3_type1_BC1_rt30	53.5098910219954	0.187522095328855	1.68308765889423	65059	30245	34813	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP2_HEK3_type1_BC1_rt32	51.3979773944081	0.243530636525877	1.13585663295657	53792	26144	27648	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP2_HEK3_type1_BC1_rt34	61.5942670087587	0.0294906956855112	2.2383438025303	33909	13023	20886	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP2_HEK3_type1_BC1_rt36	54.6188542352205	0.178173004382093	1.34352076277308	62299	28271	34027	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP2_HEK3_type1_BC1_rt40	44.2056854818912	0.108014336448292	1.19470402435232	61103	34090	27011	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP3_HEK3_type1_BC1_rt30	54.4668523176428	0.0494071146245059	1.64166367229608	44528	20274	24253	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP3_HEK3_type1_BC1_rt32	57.0719297525748	0.0594969430880965	1.68437897501128	48742	20924	27818	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP3_HEK3_type1_BC1_rt34	57.7883963071115	0.0943869274105536	1.60752735746099	33903	14311	19592	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP3_HEK3_type1_BC1_rt36	54.0756875453789	0.0655226761586003	1.58671129292178	56469	25933	30536	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP3_HEK3_type1_BC1_rt40	44.9217754675636	0.0458645467053967	1.57808014404865	58869	32423	26445	CRISPRessoBatch_on_HEK3_TYPE1_BC1
REP1_HEK3_type1_BC2_rt30	55.5626401653401	0.692581680664878	2.76592937865529	45482	20211	25271	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP1_HEK3_type1_BC2_rt32	63.714228133817	0.056428859330915	3.83917775090689	49620	18005	31615	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP1_HEK3_type1_BC2_rt34	58.0868089233754	0.05819592628516	3.1741028128031	41240	17285	23955	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP1_HEK3_type1_BC2_rt36	57.723116183455	0.0732496869166608	3.64594409394863	42321	17892	24429	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP1_HEK3_type1_BC2_rt40	51.8903714121805	0.0425634287617743	2.78697929196662	54037	25997	28040	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP2_HEK3_type1_BC2_rt30	59.6084882990129	0.515730710932012	3.47517468298274	54098	21850	32247	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP2_HEK3_type1_BC2_rt32	60.7851079891735	0.149141057980888	3.29951575187347	54311	21298	33013	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP2_HEK3_type1_BC2_rt34	64.0927651554811	0.13262136600007	3.64708756500192	57306	20575	36729	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP2_HEK3_type1_BC2_rt36	59.3189147823552	0.0911028916057796	3.46919811234809	54883	22324	32556	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP2_HEK3_type1_BC2_rt40	48.6815415821501	0.339893646181679	3.5451272773788	54723	28080	26640	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP3_HEK3_type1_BC2_rt30	63.4328358208955	0.132114546882811	3.50282082410912	56012	20482	35530	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP3_HEK3_type1_BC2_rt32	62.9248707512925	0.443662230044366	3.70512961537051	54546	20222	34323	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP3_HEK3_type1_BC2_rt34	63.4686831538259	0.197020302473074	3.4919503133561	53294	19468	33825	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP3_HEK3_type1_BC2_rt36	56.608575128945	0.297652859512395	3.75133489354934	44011	19096	24914	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP3_HEK3_type1_BC2_rt40	51.2043394150893	0.066380912642719	2.94351932632857	52726	25727	26998	CRISPRessoBatch_on_HEK3_TYPE1_BC2
REP1_RNF2_Type1_BC1_10	47.5853350189633	0.74448658519455	0.81472116870347	35595	18657	16938	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_12	42.8513654962413	0.509087448853364	0.8611666190884	42036	24023	18013	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_14	56.8977567354301	0.444143839476947	1.03032352609627	44355	19118	25237	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_16	57.3903884134299	0.697827518104016	1.09809084924292	37975	16181	21794	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_18	53.881736356386	0.610687022900763	0.865899510083172	43885	20239	23646	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_20	54.5543107647345	0.372625426205553	0.901120311738919	41060	18659	22400	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_6	7.2948749005087	0.930892480188255	0.501782191923037	28897	26789	2108	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC1_8	30.5726050811903	0.683707559630176	1.06052365783544	25742	17872	7870	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_10	47.459078797107	0.472655754345895	0.837457175485344	31524	16554	14961	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_12	46.7851283162555	0.253846391975977	0.814165866947342	32303	17190	15113	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_14	59.7954823913795	0.251327322421539	0.961327008262386	63662	25595	38067	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_16	58.4564034566321	0.373401612485331	0.967796016033408	65613	27258	38355	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_18	55.7356019174938	0.274120586050908	0.977651745324421	74055	32780	41275	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_20	54.3787199647292	0.227790432801822	0.868542876037916	68045	31043	37002	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_6	8.66416978776529	1.30551096843232	0.642054574638844	28035	25606	2429	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP2_RNF2_Type1_BC1_8	33.0117987994204	0.666528669012627	0.968743531359967	24155	16180	7974	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_10	55.0797176841099	0.365548463290499	0.908247335714085	35563	15975	19588	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_12	48.3703808579924	0.336967294350842	0.781537590259097	35315	18233	17082	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_14	60.0464826528656	0.42409430707303	1.10695802185164	41736	16675	25061	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_16	61.3705691787463	0.321596632694081	1.10667076544728	42289	16336	25953	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_18	53.0964102347398	0.414122419658138	0.955017008599379	47329	22199	25130	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_20	53.8574915941228	0.260236746349777	0.930403942701856	43422	20036	23386	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_6	8.5770792130738	1.26470282085979	0.666180909753305	38428	35132	3296	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP3_RNF2_Type1_BC1_8	33.5273446079508	0.560070283329673	1.01764404421993	27318	18159	9159	CRISPRessoBatch_on_RNF2_TYPE1_BC1
REP1_RNF2_Type1_BC2_10	51.8090617547899	0.538607022448812	0.90658662938903	48644	23442	25202	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_12	39.9838102947479	0.0547592971763249	0.835674491690872	42002	25205	16794	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_14	51.5874529246317	0.314630309386471	0.85093197311341	41954	20311	21643	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_16	51.9627514534136	0.318979266347687	0.856613674949838	38874	18673	20200	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_18	50.9803921568627	0.413602941176471	0.745506535947712	39168	19199	19968	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_20	52.9916210040052	0.353834434970637	0.808413396564857	40697	19128	21566	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_6	3.79560415039607	1.97255383242218	0.656030346982037	44815	43114	1701	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP1_RNF2_Type1_BC2_8	31.1015071884637	0.579854927681015	0.873040003474786	46046	31712	14321	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_10	53.5830322563876	0.369090011176669	0.961713409403998	38473	17858	20615	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_12	40.3501169945403	0.144437704018257	1.19594418927117	34617	20649	13968	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_14	54.1017452175877	0.548404787251202	0.851640375495984	30999	14228	16771	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_16	55.6876769482938	0.539412904187155	0.873193264789152	33555	14868	18686	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_18	54.925015385612	0.336863926408188	0.890745959252421	30873	13913	16957	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_20	55.0955643707176	0.257242457026085	0.92799615338382	41595	18674	22917	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_6	4.01776758847973	1.32397191574724	1.01447198739074	34895	33493	1402	CRISPRessoBatch_on_RNF2_TYPE1_BC2
REP2_RNF2_Type1_BC2_8	32.6173797255833	0.868407340936722	1.01314189775951	34546	23275	11268	CRISPRessoBatch_on_RNF2_TYPE1_BC2
